qid,color,size,dim,color_dscore,size_dscore,dim_dscore,count,color_norm,size_norm,dim_norm,type
Q3.2,6,0,0,6,0,0,12,0.5,0,0,12
Q4.2,6,0,0,8,0,0,12,0.666666666666667,0,0,12
Q5.2,7,0,0,10,10,0,15,0.666666666666667,0.666666666666667,0,0
Q6.2,35,0,0,5,0,0,5,1,0,0,0
Q7.2,14,27,0,0,2,0,2,0,1,0,0
Q8.2,8,13,10,0,0,2,2,0,0,1,0
Q9.2,10,0,0,0,0,0,5,0,0,0,5
Q10.2,12,0,0,0,0,0,4,0,0,0,0
Q11.2,12,0,0,1,0,0,5,0.2,0,0,5
Q12.2,10,0,0,5,0,0,5,1,0,0,5
Q13.2,8,0,0,4,0,0,5,0.8,0,0,5
Q14.2,7,0,0,2,0,0,5,0.4,0,0,5
Q15.2,8,0,0,5,0,0,5,1,0,0,5
Q16.2,9,0,0,2,0,0,5,0.4,0,0,5
Q17.2,15,0,0,4,0,0,5,0.8,0,0,5
Q18.2,10,0,0,5,0,0,5,1,0,0,5
Q19.2,8,0,0,5,0,0,5,1,0,0,5
Q20.2,5,0,0,0,5,0,5,0,1,0,5
Q21.2,5,0,0,0,1,0,5,0,0.2,0,5
Q22.2,9,1,0,0,1,0,5,0,0.2,0,5
Q23.2,6,0,0,0,4,0,5,0,0.8,0,5
Q24.2,5,0,0,0,2,0,5,0,0.4,0,5
Q25.2,9,1,0,0,3,0,5,0,0.6,0,5
Q26.2,5,0,0,0,3,0,5,0,0.6,0,5
Q27.2,4,1,7,0,3,3,3,0,1,1,3
Q28.2,6,3,2,0,1,1,3,0,0.333333333333333,0.333333333333333,3
Q29.2,10,3,0,0,2,2,3,0,0.666666666666667,0.666666666666667,3
Q30.2,5,1,4,0,2,2,3,0,0.666666666666667,0.666666666666667,3
